"A_x","A_y","B_x","B_y","C_x","C_y","AB_x","AB_y","ABCD_x","ABCD_y"
1065.768445,19708,1065.768445,23467,1065.768445,0,1065.768445,737,1065.768445,0,
1070.785174,19544,1070.785174,23596,1070.785174,0,1070.785174,694,1070.785174,0,
1103.935164,11822,1103.935164,14070,1103.935164,0,1103.935164,348,1103.935164,0,
1108.951669,11247,1108.951669,12777,1108.951669,0,1108.951669,347,1108.951669,0,
1113.95176,11388,1113.95176,12994,1113.95176,0,1113.95176,331,1113.95176,0,
1118.958115,11253,1118.958115,12790,1118.958115,0,1118.958115,324,1118.958115,0,
1123.958165,11043,1123.958165,12798,1123.958165,0,1123.958165,330,1123.958165,0,
1128.975384,11397,1128.975384,12916,1128.975384,0,1128.975384,335,1128.975384,0,
1133.991512,11517,1133.991512,13000,1133.991512,0,1133.991512,384,1133.991512,0,
1138.991535,11288,1138.991535,13029,1138.991535,0,1138.991535,365,1138.991535,0,
1144.001894,11458,1144.001894,13103,1144.001894,0,1144.001894,348,1144.001894,0,
1149.001842,11437,1149.001842,12917,1149.001842,0,1149.001842,351,1149.001842,0,
1154.001898,11250,1154.001898,13075,1154.001898,0,1154.001898,331,1154.001898,0,
1195.858273,29991,1195.858273,72608,1195.858273,0,1195.858273,114,1195.858273,0,
1200.875018,4634,1200.875018,4499,1200.875018,0,1200.875018,60,1200.875018,0,
1205.891603,4621,1205.891603,4600,1205.891603,0,1205.891603,67,1205.891603,0,
1210.908311,4648,1210.908311,4562,1210.908311,0,1210.908311,74,1210.908311,0,
1215.918615,4690,1215.918615,4647,1215.918615,0,1215.918615,83,1215.918615,0,
1220.935189,4591,1220.935189,4647,1220.935189,0,1220.935189,69,1220.935189,0,
1225.958369,4672,1225.958369,4618,1225.958369,0,1225.958369,75,1225.958369,0,
1230.968332,4704,1230.968332,4561,1230.968332,0,1230.968332,66,1230.968332,0,
1235.970278,4670,1235.970278,4761,1235.970278,0,1235.970278,70,1235.970278,0,
1240.99083,4619,1240.99083,4638,1240.99083,0,1240.99083,67,1240.99083,0,
1245.994483,4593,1245.994483,4677,1245.994483,0,1245.994483,62,1245.994483,0,
1251.021423,4581,1251.021423,4617,1251.021423,0,1251.021423,57,1251.021423,0,
1256.01872,4753,1256.01872,4514,1256.01872,0,1256.01872,70,1256.01872,0,
1366.13507,51361,1366.13507,81061,1366.13507,0,1366.13507,46,1366.13507,0,
1371.135419,9330,1371.135419,13151,1371.135419,0,1371.135419,2,1371.135419,0,
1376.158828,8110,1376.158828,10880,1376.158828,0,1376.158828,1,1376.158828,0,
1381.152225,49013,1381.152225,119588,1381.152225,0,1381.152225,39,1381.152225,0,
1386.158157,93933,1386.158157,179006,1386.158157,0,1386.158157,111,1386.158157,0,
1391.168386,34915,1391.168386,83388,1391.168386,0,1391.168386,23,1391.168386,0,
1405.101891,3814,1405.101891,4286,1405.101891,0,1405.101891,0,1405.101891,0,
1410.100129,3844,1410.100129,4147,1410.100129,0,1410.100129,0,1410.100129,0,
1415.102214,3807,1415.102214,4143,1415.102214,0,1415.102214,3,1415.102214,0,
1420.102273,3694,1420.102273,4122,1420.102273,0,1420.102273,4,1420.102273,0,
1425.102219,3869,1425.102219,4114,1425.102219,0,1425.102219,3,1425.102219,0,
1430.101218,3849,1430.101218,4232,1430.101218,0,1430.101218,0,1430.101218,0,
1435.102239,3738,1435.102239,4194,1435.102239,0,1435.102239,2,1435.102239,0,
1440.108564,3807,1440.108564,4192,1440.108564,0,1440.108564,1,1440.108564,0,
1445.121703,3821,1445.121703,4224,1445.121703,0,1445.121703,0,1445.121703,0,
1450.124907,3879,1450.124907,4155,1450.124907,0,1450.124907,1,1450.124907,0,
1543.205253,4653,1543.205253,5268,1543.205253,0,1543.205253,5,1543.205253,0,
1548.202419,4396,1548.202419,5074,1548.202419,0,1548.202419,4,1548.202419,0,
1553.21914,4435,1553.21914,5133,1553.21914,0,1553.21914,3,1553.21914,0,
1558.218822,4438,1558.218822,5063,1558.218822,0,1558.218822,1,1558.218822,0,
1563.235578,4450,1563.235578,5020,1563.235578,0,1563.235578,0,1563.235578,0,
1568.285295,4219,1568.285295,4810,1568.285295,0,1568.285295,3,1568.285295,0,
1573.285737,4140,1573.285737,4746,1573.285737,0,1573.285737,2,1573.285737,0,
1578.225791,4140,1578.225791,4746,1578.225791,0,1578.225791,2,1578.225791,0,
1583.237042,4073,1583.237042,4707,1583.237042,0,1583.237042,3,1583.237042,0,
1636.35219,30139,1636.35219,76783,1636.35219,0,1636.35219,44,1636.35219,0,
1641.348193,7451,1641.348193,9658,1641.348193,0,1641.348193,12,1641.348193,0,
1646.352542,7616,1646.352542,9829,1646.352542,0,1646.352542,12,1646.352542,0,
1651.369208,7488,1651.369208,9755,1651.369208,0,1651.369208,19,1651.369208,0,
1656.385826,7474,1656.385826,9787,1656.385826,0,1656.385826,10,1656.385826,0,
1661.385124,7525,1661.385124,9714,1661.385124,0,1661.385124,14,1661.385124,0,
1666.391749,7508,1666.391749,9864,1666.391749,0,1666.391749,9,1666.391749,0,
1671.402548,7621,1671.402548,9809,1671.402548,0,1671.402548,5,1671.402548,0,
1676.408677,7506,1676.408677,9808,1676.408677,0,1676.408677,11,1676.408677,0,
1681.425167,7648,1681.425167,9552,1681.425167,0,1681.425167,7,1681.425167,0,
1686.425356,7526,1686.425356,9770,1686.425356,0,1686.425356,9,1686.425356,0,
